"Parent","Name","Cost","UnlockedAt"
"porsche","carrera_gt","280000","2"
"mclaren","slr","300000","2"
"lamborghini","murcielago","265000","3"
"ford","fordgt","270000","3"
"corvette","corvette_car","80000","4"
"porsche","911turbo","105000","4"
"dodge","viper","98000","5"
"lamborghini","gallardo","120000","5"
"porsche","997s","75000","6"
"aston_martin","db9","90000","6"
"lotus","elise","48000","7"
"mercedes","clk500","75000","7"
"mazda","rx7","31000","8"
"subaru","imprezzawrx","42000","8"
"pontiac","gto","35000","9"
"vauxhall","monaro","35000","9"
"porsche","caymans","60000","9"
"mitsubishi","lancerevo8","36000","10"
"mercedes","sl500","75000","10"
"cadillac","cts","32000","11"
"mazda","rx8","32000","11"
"ford","mustanggt","36000","11"
"renault","clio","40000","12"
"toyota","supra","40000","12"
"mitsubishi","eclipsegt","30000","13"
"audi","a4_32","35000","13"
"audi","a3_20t","32000","14"
"audi","tt","35000","14"
"porsche","911gt2","0","15"
"europe","aston_martin","0","15"
"europe","audi","0","15"
"europe","bmw","0","15"
"north_america","cadillac","0","15"
"north_america","chevrolet","0","15"
"north_america","corvette","0","15"
"corvette","corvettec6r","0","15"
"north_america","dodge","0","15"
"vehicles","europe","0","15"
"europe","fiat","0","15"
"north_america","ford","0","15"
"north_america","general_motors","0","15"
"vehicles","japan","0","15"
"europe","lamborghini","0","15"
"japan","lexus","0","15"
"europe","lotus","0","15"
"bmw","m3","0","15"
"bmw","m3_gtr","0","15"
"japan","mazda","0","15"
"europe","mclaren","0","15"
"europe","mercedes","0","15"
"japan","mitsubishi","0","15"
"vehicles","north_america","0","15"
"north_america","pontiac","0","15"
"europe","porsche","0","15"
"europe","renault","0","15"
"mazda","rx8speed","0","15"
"mercedes","sl65","0","15"
"japan","subaru","0","15"
"japan","toyota","0","15"
"europe","vauxhall","0","15"
"europe","volkswagen","0","15"
"chevrolet","camaro","5","15"
"bmw","m3_gtre46","500000","15"
"chevrolet","cobaltss","26000","16"
"lexus","is300","27000","16"
"fiat","punto","27000","16"
"volkswagen","gti","35000","16"
