"Name","TopSpeed","Acceleration","Handling","Score","Source","CostOld","UnlockedAtOld","CostNew","UnlockedAtNew"
"is300","0,4","0","0,6","1","wiki","21500","14","18000","16"
"cobaltss","0,9","0,2","0","1,1","wiki","18000","16","19000","16"
"punto","0","0,7","0,5","1,2","wiki","22500","14","19000","16"
"gti","1","0,6","0,6","2,2","wiki","19000","16","21000","16"
"a4_32","1,7","0,5","1,9","4,1","wiki","22500","13","21500","14"
"a3_20t","1,8","0,5","2","4,3","wiki","24500","11","22500","14"
"cts","2,3","1,4","0,6","4,3","wiki","24500","12","22500","13"
"tt","1,6","0,7","2,2","4,5","wiki","24500","11","22500","13"
"rx8","2,3","1","1,7","5","wiki","19000","16","24500","12"
"eclipsegt","2,5","1","2,2","5,7","wiki","24500","12","24500","12"
"mustanggt","2,7","2,1","1,1","5,9","wiki","25000","10","24500","11"
"clio","2,6","1,9","1,6","6,1","wiki","22500","13","24500","11"
"supra","2,8","1,9","1,4","6,1","wiki","21000","16","24500","11"
"sl500","3,9","2,5","1,7","8,1","wiki","28000","9","25000","10"
"rx8speed","3,5","2,8","2,8","9,1","proxy-between-rx8-rx7","33000","8","25000","10"
"lancerevo8","3,3","3","3","9,3","wiki","24500","11","28000","9"
"gto","4,4","2,7","2,5","9,6","wiki","28000","9","28000","9"
"monaro","4,4","2,7","2,5","9,6","wiki","29500","9","28000","9"
"camaro","1,6","4,7","3,8","10,1","wiki-bonus","56000","6","29500","9"
"imprezzawrx","4,1","3,7","3,4","11,2","wiki","28000","9","33000","8"
"clk500","4,1","2,6","4,8","11,5","wiki","45000","7","33500","8"
"rx7","4,3","3,9","3,3","11,5","wiki","25000","10","34000","7"
"caymans","3,9","3,7","4,2","11,8","wiki","48000","7","45000","7"
"elise","3","4","5,3","12,3","wiki","33500","8","48000","7"
"m3","3,5","4,2","5","12,7","proxy-between-elise-997s","34000","7","52000","6"
"db9","3,9","4,7","5,3","13,9","wiki","52500","6","52500","6"
"viper","5,4","5,2","3,8","14,4","wiki","85000","4","56000","6"
"997s","4,4","4","6,6","15","wiki","52000","6","63000","5"
"gallardo","3,9","4,9","8,4","17,2","wiki","73500","4","68500","5"
"corvette_car","4,9","5,1","7,3","17,3","wiki","84000","4","73500","4"
"m3_gtr","3,1","7","7,2","17,3","wiki-bonus","63000","5","84000","4"
"911turbo","5,4","5,4","7,3","18,1","wiki","68500","5","85000","4"
"911gt2","4,2","7,6","7,8","19,6","wiki-bonus","160000","3","155000","3"
"sl65","5,3","7,4","7","19,7","wiki-bonus","185500","3","160000","3"
"slr","5,9","6,5","8,6","21","wiki","189000","3","185500","3"
"murcielago","7,3","6,1","8,8","22,2","wiki","155000","3","189000","3"
"carrera_gt","6,4","7","8,9","22,3","wiki","196000","2","190000","2"
"fordgt","8,3","5,6","8,4","22,3","wiki","190000","2","196000","2"
"m3_gtre46","8","8,5","7","23,5","proxy-near-murcielago-carrera","205000","2","205000","2"
"corvettec6r","9,1","9,2","9,2","27,5","wiki-bonus","210000","2","210000","2"
