"Name","Special","Score","TopSpeed","Acceleration","Handling","Source","CostOld","UnlockedAtOld","CostNew","UnlockedAtNew","DeltaCost","DeltaUnlock"
"is300","False","1","0,4","0","0,6","wiki","21500","14","18000","16","-3500","2"
"cobaltss","False","1,1","0,9","0,2","0","wiki","18000","16","19000","16","1000","0"
"punto","False","1,2","0","0,7","0,5","wiki","22500","14","19000","16","-3500","2"
"gti","False","2,2","1","0,6","0,6","wiki","19000","16","21000","16","2000","0"
"a4_32","False","4,1","1,7","0,5","1,9","wiki","22500","13","21500","14","-1000","1"
"a3_20t","False","4,3","1,8","0,5","2","wiki","24500","11","22500","14","-2000","3"
"cts","False","4,3","2,3","1,4","0,6","wiki","24500","12","22500","13","-2000","1"
"tt","False","4,5","1,6","0,7","2,2","wiki","24500","11","22500","13","-2000","2"
"rx8","False","5","2,3","1","1,7","wiki","19000","16","24500","12","5500","-4"
"eclipsegt","False","5,7","2,5","1","2,2","wiki","24500","12","24500","12","0","0"
"mustanggt","False","5,9","2,7","2,1","1,1","wiki","25000","10","24500","11","-500","1"
"clio","False","6,1","2,6","1,9","1,6","wiki","22500","13","24500","11","2000","-2"
"supra","False","6,1","2,8","1,9","1,4","wiki","21000","16","24500","11","3500","-5"
"sl500","False","8,1","3,9","2,5","1,7","wiki","28000","9","25000","10","-3000","1"
"rx8speed","True","9,1","3,5","2,8","2,8","proxy-between-rx8-rx7","33000","8","25000","10","-8000","2"
"lancerevo8","False","9,3","3,3","3","3","wiki","24500","11","28000","9","3500","-2"
"gto","False","9,6","4,4","2,7","2,5","wiki","28000","9","28000","9","0","0"
"monaro","False","9,6","4,4","2,7","2,5","wiki","29500","9","28000","9","-1500","0"
"camaro","True","10,1","1,6","4,7","3,8","wiki-bonus","56000","6","29500","9","-26500","3"
"imprezzawrx","False","11,2","4,1","3,7","3,4","wiki","28000","9","33000","8","5000","-1"
"clk500","False","11,5","4,1","2,6","4,8","wiki","45000","7","33500","8","-11500","1"
"rx7","False","11,5","4,3","3,9","3,3","wiki","25000","10","34000","7","9000","-3"
"caymans","False","11,8","3,9","3,7","4,2","wiki","48000","7","45000","7","-3000","0"
"elise","False","12,3","3","4","5,3","wiki","33500","8","48000","7","14500","-1"
"m3","True","12,7","3,5","4,2","5","proxy-between-elise-997s","34000","7","52000","6","18000","-1"
"db9","False","13,9","3,9","4,7","5,3","wiki","52500","6","52500","6","0","0"
"viper","False","14,4","5,4","5,2","3,8","wiki","85000","4","56000","6","-29000","2"
"997s","False","15","4,4","4","6,6","wiki","52000","6","63000","5","11000","-1"
"gallardo","False","17,2","3,9","4,9","8,4","wiki","73500","4","68500","5","-5000","1"
"corvette_car","False","17,3","4,9","5,1","7,3","wiki","84000","4","73500","4","-10500","0"
"m3_gtr","True","17,3","3,1","7","7,2","wiki-bonus","63000","5","84000","4","21000","-1"
"911turbo","False","18,1","5,4","5,4","7,3","wiki","68500","5","85000","4","16500","-1"
"911gt2","True","19,6","4,2","7,6","7,8","wiki-bonus","160000","3","155000","3","-5000","0"
"sl65","True","19,7","5,3","7,4","7","wiki-bonus","185500","3","160000","3","-25500","0"
"slr","False","21","5,9","6,5","8,6","wiki","189000","3","185500","3","-3500","0"
"murcielago","False","22,2","7,3","6,1","8,8","wiki","155000","3","189000","3","34000","0"
"carrera_gt","False","22,3","6,4","7","8,9","wiki","196000","2","190000","2","-6000","0"
"fordgt","False","22,3","8,3","5,6","8,4","wiki","190000","2","196000","2","6000","0"
"m3_gtre46","True","23,5","8","8,5","7","proxy-near-murcielago-carrera","205000","2","205000","2","0","0"
"corvettec6r","True","27,5","9,1","9,2","9,2","wiki-bonus","210000","2","210000","2","0","0"
