"Name","Parent","Special","CostOld","UnlockedAtOld","Customizable","PvName","Engine","MASS","Handling0","TorqueSum","PowerProxy","SpeedProxy","Score","CostNew","UnlockedAtNew"
"corvettec6r","corvette","True","190000","2","false","corvettec6r","corvettec6r","1300","95","3529","2,7146","0,4438","100","210000","2"
"m3_gtre46","bmw","True","205000","2","false","bmwm3gtre46","bmwm3gtre46","1300","75","3244","2,4954","0,3592","76,08","205000","2"
"carrera_gt","porsche","False","196000","2","true","carreragt","carreragt","1400","93","2782","1,9871","0,3107","72,08","196000","2"
"fordgt","ford","False","189000","3","true","fordgt","fordgt","1545","90","3159","2,0447","0,2939","69,71","190000","2"
"slr","mclaren","False","210000","2","true","slr","slr","1700","91","3287","1,9335","0,3076","69,66","189000","3"
"sl65","mercedes","True","160000","3","false","sl65","sl65","1950","81","4055","2,0795","0,3205","67,98","185500","3"
"911gt2","porsche","True","155000","3","false","911gt2","911gt2","1440","86","2841","1,9729","0,3021","66,99","160000","3"
"murcielago","lamborghini","False","185500","3","true","murcielago","murcielago","1653","92","3019","1,8264","0,2898","66,47","155000","3"
"viper","dodge","False","68500","5","true","viper","viper","1550","60","3497","2,2561","0,3374","61,04","85000","4"
"corvette_car","corvette","False","56000","4","true","corvette","corvette","1470","83","2450","1,6667","0,2721","56,68","84000","4"
"gallardo","lamborghini","False","84000","5","true","gallardo","gallardo","1614","90","2471","1,531","0,233","54,18","73500","4"
"911turbo","porsche","False","73500","4","true","911turbo","911turbo","1590","83","2285","1,4371","0,2453","49,78","68500","5"
"m3_gtr","bmw","True","85000","4","false","bmwm3gtr","bmwm3gtr","1350","82","2092","1,5496","0,2096","47,6","63000","5"
"camaro","chevrolet","True","52000","6","false","camaro","camaro","1386","60","2413","1,741","0,2763","45,46","56000","6"
"db9","aston_martin","False","63000","6","true","db9","db9","1710","70","2695","1,576","0,2456","44,98","52500","6"
"997s","porsche","False","52500","6","true","997s","997s","1423","78","2098","1,4743","0,2073","43,74","52000","6"
"caymans","porsche","False","33000","9","true","caymans","caymans","1345","63","1994","1,4825","0,2089","35,58","48000","7"
"clk500","mercedes","False","45000","7","true","clk500","clk500","1629","67","2185","1,3413","0,2087","35,26","45000","7"
"m3","bmw","True","48000","7","true","",,"0",,"0","0","0","34","34000","7"
"elise","lotus","False","33500","7","true","elise","elise","861","70","1128","1,3101","0,1731","32,75","33500","8"
"rx8speed","mazda","True","28000","9","true","rx8speedt","0x097C7B7D","1400","47","2203,1","1,5737","0,2186","29,18","33000","8"
"gto","pontiac","False","24500","9","true","gto","gto","1693","52","2315","1,3674","0,2103","27,42","28000","9"
"monaro","vauxhall","False","24500","9","true","monaro","gto","1693","52","2315","1,3674","0,2103","27,42","29500","9"
"sl500","mercedes","False","34000","10","true","sl500","sl500","1590","47","2331","1,466","0,2201","27,38","28000","9"
"imprezzawrx","subaru","False","29500","8","true","imprezawrx","imperzawrx","1480","58","1808","1,2216","0,1845","25,53","28000","9"
"rx7","mazda","False","21500","8","true","rx7","rx7","1280","57","1541","1,2039","0,175","23,67","25000","10"
"mustanggt","ford","False","25000","11","true","mustanggt","mustanggt","1568","43","2145","1,368","0,2041","21,71","25000","10"
"lancerevo8","mitsubishi","False","25000","10","true","lancerevo8","lancerevo8","1483","55","1698","1,145","0,1733","21,3","24500","11"
"tt","audi","False","24500","14","true","tt","tt","1523","50","1827","1,1996","0,1661","18,73","24500","11"
"a3_20t","audi","False","22500","14","true","a3","a3","1495","49","1745","1,1672","0,1659","17,56","24500","11"
"eclipsegt","mitsubishi","False","21000","13","true","eclipsegt","eclipsegt","1578","50","1783","1,1299","0,1654","17,4","24500","12"
"cts","cadillac","False","22500","11","true","cts","cts","1595","40","1892","1,1862","0,1781","14,07","24500","12"
"clio","renault","False","28000","12","true","clio","clio","1402","46","1528","1,0899","0,1576","13,61","22500","13"
"a4_32","audi","False","24500","13","true","a4","a4","1579","48","1594","1,0095","0,1545","12,97","22500","13"
"punto","fiat","False","19000","16","true","punto","punto","1100","39","1291","1,1736","0,1636","11,79","22500","14"
"is300","lexus","False","19000","16","true","is300","is300","1547","40","1686","1,0899","0,1519","9,64","21500","14"
"supra","toyota","False","28000","12","true","supra","supra","1593","45","1532","0,9617","0,145","9,44","21000","16"
"gti","volkswagen","False","24500","16","true","gti","gti","1328","40","1364","1,0271","0,1453","7,83","19000","16"
"rx8","mazda","False","22500","11","true","rx8","rx8","1631","47","1428","0,8755","0,1177","6,21","19000","16"
"cobaltss","chevrolet","False","18000","16","true","cobaltss","cobaltss","1273","36","1289","1,0126","0,1414","4,91","18000","16"
