"Parent","Name","CostVanilla","UnlockedAt","SoftRaw","CostNew"
"porsche","carrera_gt","280000","2","196000","196000"
"mclaren","slr","300000","2","210000","210000"
"lamborghini","murcielago","265000","3","185500","185500"
"ford","fordgt","270000","3","189000","189000"
"corvette","corvette_car","80000","4","56000","56000"
"porsche","911turbo","105000","4","73500","73500"
"dodge","viper","98000","5","68500","68500"
"lamborghini","gallardo","120000","5","84000","84000"
"porsche","997s","75000","6","52500","52500"
"aston_martin","db9","90000","6","63000","63000"
"lotus","elise","48000","7","33500","33500"
"mercedes","clk500","75000","7","52500","45000"
"mazda","rx7","31000","8","21500","21500"
"subaru","imprezzawrx","42000","8","29500","29500"
"pontiac","gto","35000","9","24500","24500"
"vauxhall","monaro","35000","9","24500","24500"
"porsche","caymans","60000","9","42000","33000"
"mitsubishi","lancerevo8","36000","10","25000","25000"
"mercedes","sl500","75000","10","52500","34000"
"cadillac","cts","32000","11","22500","22500"
"mazda","rx8","32000","11","22500","22500"
"ford","mustanggt","36000","11","25000","25000"
"renault","clio","40000","12","28000","28000"
"toyota","supra","40000","12","28000","28000"
"mitsubishi","eclipsegt","30000","13","21000","21000"
"audi","a4_32","35000","13","24500","24500"
"audi","a3_20t","32000","14","22500","22500"
"audi","tt","35000","14","24500","24500"
"bmw","m3_gtre46","500000","15","350000","350000"
"chevrolet","cobaltss","26000","16","18000","18000"
"lexus","is300","27000","16","19000","19000"
"fiat","punto","27000","16","19000","19000"
"volkswagen","gti","35000","16","24500","24500"
