"Parent","Name","Cost","UnlockedAt"
"porsche","carrera_gt","280000","2"
"mclaren","slr","300000","2"
"lamborghini","murcielago","265000","3"
"ford","fordgt","270000","3"
"corvette","corvette_car","80000","4"
"porsche","911turbo","105000","4"
"dodge","viper","98000","5"
"lamborghini","gallardo","120000","5"
"porsche","997s","75000","6"
"aston_martin","db9","90000","6"
"lotus","elise","48000","7"
"mercedes","clk500","75000","7"
"mazda","rx7","31000","8"
"subaru","imprezzawrx","42000","8"
"vauxhall","monaro","35000","9"
"pontiac","gto","35000","9"
"porsche","caymans","60000","9"
"mitsubishi","lancerevo8","36000","10"
"mercedes","sl500","75000","10"
"mazda","rx8","32000","11"
"cadillac","cts","32000","11"
"ford","mustanggt","36000","11"
"toyota","supra","40000","12"
"renault","clio","40000","12"
"mitsubishi","eclipsegt","30000","13"
"audi","a4_32","35000","13"
"audi","a3_20t","32000","14"
"audi","tt","35000","14"
"bmw","m3_gtre46","500000","15"
"chevrolet","cobaltss","26000","16"
"fiat","punto","27000","16"
"lexus","is300","27000","16"
"volkswagen","gti","35000","16"
