"Name","BossRace","IsMarkerRace","CashVanilla","CashNew"
"race_bin_12/12_7_3_drag","false","false","750","1000"
"race","false","false","1000","1400"
"race_bin_11/11_7_1_drag","false","false","1000","1400"
"race_bin_09/9_7_1_drag","false","false","1500","2100"
"race_bin_15/15_1_1_circuit","false","false","1500","2100"
"race_bin_15/15_2_1_sprint","false","false","1500","2100"
"race_bin_15/15_3_1_knockout","false","false","1500","2100"
"race_bin_collectors/21_1_1_circuit","false","false","1500","2100"
"race_bin_collectors/21_2_1_sprint","false","false","1500","2100"
"race_bin_collectors/21_2_2_sprint","false","false","1500","2100"
"race_bin_opm/20_5_1_speedtraps","false","false","1500","2100"
"race_bin_14/14_1_1_circuit","false","false","2000","2800"
"race_bin_14/14_1_2_cellphone_circuit","false","true","2000","2800"
"race_bin_14/14_2_1_sprint","false","false","2000","2800"
"race_bin_14/14_2_2_sprint","false","false","2000","2800"
"race_bin_14/14_3_1_lapknockout","false","false","2000","2800"
"race_bin_14/14_4_1_tollbooth","false","false","2000","2800"
"race_bin_07/7_7_4_drag","false","false","2500","3500"
"race_bin_13/13_2_1_sprint","false","false","2500","3500"
"race_bin_13/13_3_1_lap_ko","false","false","2500","3500"
"race_bin_13/13_3_2_lap_ko","false","false","2500","3500"
"race_bin_13/13_4_1_tollbooth","false","false","2500","3500"
"race_bin_13/13_4_2_tollbooth","false","false","2500","3500"
"race_bin_13/13_5_1_speedtrap","false","false","2500","3500"
"race_bin_13/13_5_2_speedtrap","false","false","2500","3500"
"race_bin_06/7_7_1_r_drag","false","false","3000","4200"
"race_bin_12/12_1_1_circuit","false","false","3000","4200"
"race_bin_12/12_4_1_tollbooth","false","false","3000","4200"
"race_bin_12/12_4_2_tollbooth","false","false","3000","4200"
"race_bin_12/12_5_1_speedtrap","false","false","3000","4200"
"race_bin_12/13_2_2_r_Sprint","false","false","3000","4200"
"race_bin_12/14_2_3_r_sprint","false","false","3000","4200"
"race_bin_11/11_1_1_circuit","false","false","4000","5600"
"race_bin_11/11_2_1_sprint","false","false","4000","5600"
"race_bin_11/11_4_1_tollbooth","false","false","4000","5600"
"race_bin_11/11_4_2_tollbooth","false","false","4000","5600"
"race_bin_11/11_5_1_speedtrap_race","false","false","4000","5600"
"race_bin_11/11_5_2_speedtrap","false","false","4000","5600"
"race_bin_11/12_2_1_r_sprint","false","false","4000","5600"
"race_bin_03/3_7_3_drag","false","false","4500","6300"
"race_bin_02/2_7_1_drag","false","false","5000","7000"
"race_bin_10/10_2_2_sprint","false","false","5000","7000"
"race_bin_10/10_3_1_knockout","false","false","5000","7000"
"race_bin_10/10_3_2_knockout","false","false","5000","7000"
"race_bin_10/10_4_1_tollbooth","false","false","5000","7000"
"race_bin_10/10_4_2_tollbooth","false","false","5000","7000"
"race_bin_10/11_1_2_r_circuit","false","false","5000","7000"
"race_bin_10/11_2_1_r_sprint","false","false","5000","7000"
"race_bin_10/11_5_1_r_speedtrap","false","false","5000","7000"
"race_bin_15/15_1_1_circuit_reversed","true","true","5000","7000"
"race_bin_09/12_1_1_r_circuit","false","false","6000","8400"
"race_bin_09/9_1_1_circuit","false","false","6000","8400"
"race_bin_09/9_3_1_lapknockout","false","false","6000","8400"
"race_bin_09/9_4_1_tollbooth","false","false","6000","8400"
"race_bin_09/9_4_2_tollbooth","false","false","6000","8400"
"race_bin_09/9_5_1_speedtrap","false","false","6000","8400"
"race_bin_09/9_5_2_speedtrap","false","false","6000","8400"
"race_bin_13/14_2_2_r_sprint","true","true","6000","8400"
"race_bin_14/15_2_1_sprint_reverse","true","true","6000","8400"
"race_bin_08/10_4_2_r_tollbooth","false","false","8000","11000"
"race_bin_08/13_3_1_r_lap_ko","false","false","8000","11000"
"race_bin_08/8_2_2_sprint","false","false","8000","11000"
"race_bin_08/8_3_1_lap_ko","false","false","8000","11000"
"race_bin_08/8_5_1_speedtrap","false","false","8000","11000"
"race_bin_08/8_5_2_speedtrap","false","false","8000","11000"
"race_bin_08/9_4_1_r_tollbooth","false","false","8000","11000"
"race_bin_12/12_1_2_circuit","true","true","8000","11000"
"16_1_1_circuit","false","false","10000","14000"
"16_2_2_sprint","false","false","10000","14000"
"16_2_3_sprint","false","false","10000","14000"
"race_bin_07/16_1_1_r_circuit","false","false","10000","14000"
"race_bin_07/7_1_1_circuit","false","false","10000","14000"
"race_bin_07/7_2_1_sprint","false","false","10000","14000"
"race_bin_07/7_3_1_lap_ko","false","false","10000","14000"
"race_bin_07/7_4_1_tollbooth","false","false","10000","14000"
"race_bin_07/7_4_2_tollbooth","false","false","10000","14000"
"race_bin_07/7_4_3_tollbooth","false","false","10000","14000"
"race_bin_07/7_5_1_speedtrap","false","false","10000","14000"
"race_bin_07/8_2_1_r_sprint","false","false","10000","14000"
"race_bin_11/12_1_2_r_circuit","true","true","10000","14000"
"race_bin_opm/20_2_1_rival_race","false","false","10000","14000"
"race_bin_06/14_3_1_r_lap_ko","false","false","12000","17000"
"race_bin_06/6_2_1_p2p","false","false","12000","17000"
"race_bin_06/6_2_2_p2p","false","false","12000","17000"
"race_bin_06/6_2_3_sprint","false","false","12000","17000"
"race_bin_06/6_3_1_lap_ko","false","false","12000","17000"
"race_bin_06/6_4_1_tollbooth","false","false","12000","17000"
"race_bin_06/6_4_2_tollbooth","false","false","12000","17000"
"race_bin_06/6_5_1_speedtraprace","false","false","12000","17000"
"race_bin_06/6_5_3_speedtrap","false","false","12000","17000"
"race_bin_06/7_4_1_r_tollbooth","false","false","12000","17000"
"race_bin_10/10_7_3_drag","true","true","12000","17000"
"race_bin_05/5_1_1_circuit","false","false","14000","19500"
"race_bin_05/5_2_1_sprint","false","false","14000","19500"
"race_bin_05/5_2_3_sprint","false","false","14000","19500"
"race_bin_05/5_3_1_lap_ko","false","false","14000","19500"
"race_bin_05/5_4_1_tollbooth","false","false","14000","19500"
"race_bin_05/5_5_1_speedtrap","false","false","14000","19500"
"race_bin_05/5_5_2_speedtrap","false","false","14000","19500"
"race_bin_05/5_5_3_speedtrap","false","false","14000","19500"
"race_bin_05/6_4_1_r_tollbooth","false","false","14000","19500"
"race_bin_05/7_4_2_r_tollbooth","false","false","14000","19500"
"race_bin_04/4_1_1_circuit","false","false","16000","22500"
"race_bin_04/4_3_1_lapknockout","false","false","16000","22500"
"race_bin_04/4_4_1_tollbooth","false","false","16000","22500"
