"Parent","Name","CashValue","BossRace","IsMarkerRace"
"drag","race_bin_12/12_7_3_drag","750","false","false"
"activity","race","1000","false","false"
"drag","race_bin_11/11_7_1_drag","1000","false","false"
"drag","race_bin_09/9_7_1_drag","1500","false","false"
"circuit","race_bin_15/15_1_1_circuit","1500","false","false"
"p2p","race_bin_15/15_2_1_sprint","1500","false","false"
"lapknockout","race_bin_15/15_3_1_knockout","1500","false","false"
"circuit","race_bin_collectors/21_1_1_circuit","1500","false","false"
"p2p","race_bin_collectors/21_2_1_sprint","1500","false","false"
"p2p","race_bin_collectors/21_2_2_sprint","1500","false","false"
"speedtraprace","race_bin_opm/20_5_1_speedtraps","1500","false","false"
"circuit","race_bin_14/14_1_1_circuit","2000","false","false"
"circuit","race_bin_14/14_1_2_cellphone_circuit","2000","false","true"
"p2p","race_bin_14/14_2_1_sprint","2000","false","false"
"p2p","race_bin_14/14_2_2_sprint","2000","false","false"
"circuit","race_bin_14/14_3_1_lapknockout","2000","false","false"
"tollboothrace","race_bin_14/14_4_1_tollbooth","2000","false","false"
"drag","race_bin_07/7_7_4_drag","2500","false","false"
"p2p","race_bin_13/13_2_1_sprint","2500","false","false"
"lapknockout","race_bin_13/13_3_1_lap_ko","2500","false","false"
"lapknockout","race_bin_13/13_3_2_lap_ko","2500","false","false"
"tollboothrace","race_bin_13/13_4_1_tollbooth","2500","false","false"
"tollboothrace","race_bin_13/13_4_2_tollbooth","2500","false","false"
"speedtraprace","race_bin_13/13_5_1_speedtrap","2500","false","false"
"speedtraprace","race_bin_13/13_5_2_speedtrap","2500","false","false"
"drag","race_bin_06/7_7_1_r_drag","3000","false","false"
"circuit","race_bin_12/12_1_1_circuit","3000","false","false"
"tollboothrace","race_bin_12/12_4_1_tollbooth","3000","false","false"
"tollboothrace","race_bin_12/12_4_2_tollbooth","3000","false","false"
"speedtraprace","race_bin_12/12_5_1_speedtrap","3000","false","false"
"p2p","race_bin_12/13_2_2_r_Sprint","3000","false","false"
"p2p","race_bin_12/14_2_3_r_sprint","3000","false","false"
"circuit","race_bin_11/11_1_1_circuit","4000","false","false"
"p2p","race_bin_11/11_2_1_sprint","4000","false","false"
"tollboothrace","race_bin_11/11_4_1_tollbooth","4000","false","false"
"tollboothrace","race_bin_11/11_4_2_tollbooth","4000","false","false"
"speedtraprace","race_bin_11/11_5_1_speedtrap_race","4000","false","false"
"speedtraprace","race_bin_11/11_5_2_speedtrap","4000","false","false"
"p2p","race_bin_11/12_2_1_r_sprint","4000","false","false"
"drag","race_bin_03/3_7_3_drag","4500","false","false"
"drag","race_bin_02/2_7_1_drag","5000","false","false"
"p2p","race_bin_10/10_2_2_sprint","5000","false","false"
"lapknockout","race_bin_10/10_3_1_knockout","5000","false","false"
"lapknockout","race_bin_10/10_3_2_knockout","5000","false","false"
"tollboothrace","race_bin_10/10_4_1_tollbooth","5000","false","false"
"tollboothrace","race_bin_10/10_4_2_tollbooth","5000","false","false"
"circuit","race_bin_10/11_1_2_r_circuit","5000","false","false"
"p2p","race_bin_10/11_2_1_r_sprint","5000","false","false"
"speedtraprace","race_bin_10/11_5_1_r_speedtrap","5000","false","false"
"circuit","race_bin_15/15_1_1_circuit_reversed","5000","true","true"
"circuit","race_bin_09/12_1_1_r_circuit","6000","false","false"
"circuit","race_bin_09/9_1_1_circuit","6000","false","false"
"lapknockout","race_bin_09/9_3_1_lapknockout","6000","false","false"
"tollboothrace","race_bin_09/9_4_1_tollbooth","6000","false","false"
"tollboothrace","race_bin_09/9_4_2_tollbooth","6000","false","false"
"speedtraprace","race_bin_09/9_5_1_speedtrap","6000","false","false"
"speedtraprace","race_bin_09/9_5_2_speedtrap","6000","false","false"
"p2p","race_bin_13/14_2_2_r_sprint","6000","true","true"
"p2p","race_bin_14/15_2_1_sprint_reverse","6000","true","true"
"tollboothrace","race_bin_08/10_4_2_r_tollbooth","8000","false","false"
"lapknockout","race_bin_08/13_3_1_r_lap_ko","8000","false","false"
"p2p","race_bin_08/8_2_2_sprint","8000","false","false"
"lapknockout","race_bin_08/8_3_1_lap_ko","8000","false","false"
"speedtraprace","race_bin_08/8_5_1_speedtrap","8000","false","false"
"speedtraprace","race_bin_08/8_5_2_speedtrap","8000","false","false"
"tollboothrace","race_bin_08/9_4_1_r_tollbooth","8000","false","false"
"circuit","race_bin_12/12_1_2_circuit","8000","true","true"
"circuit","16_1_1_circuit","10000","false","false"
"circuit","16_2_2_sprint","10000","false","false"
"circuit","16_2_3_sprint","10000","false","false"
"circuit","race_bin_07/16_1_1_r_circuit","10000","false","false"
"circuit","race_bin_07/7_1_1_circuit","10000","false","false"
"p2p","race_bin_07/7_2_1_sprint","10000","false","false"
"lapknockout","race_bin_07/7_3_1_lap_ko","10000","false","false"
"tollboothrace","race_bin_07/7_4_1_tollbooth","10000","false","false"
"tollboothrace","race_bin_07/7_4_2_tollbooth","10000","false","false"
"tollboothrace","race_bin_07/7_4_3_tollbooth","10000","false","false"
"speedtraprace","race_bin_07/7_5_1_speedtrap","10000","false","false"
"p2p","race_bin_07/8_2_1_r_sprint","10000","false","false"
"circuit","race_bin_11/12_1_2_r_circuit","10000","true","true"
"p2p","race_bin_opm/20_2_1_rival_race","10000","false","false"
"circuit","race_bin_06/14_3_1_r_lap_ko","12000","false","false"
"p2p","race_bin_06/6_2_1_p2p","12000","false","false"
