"Part","Level","Cost"
"tires","PART_UPGRADE_EXOTIC_LEVEL_01","0"
"tires","PART_UPGRADE_EXOTIC_LEVEL_02","1400"
"tires","PART_UPGRADE_EXOTIC_LEVEL_03","4800"
"tires","PART_UPGRADE_EXOTIC_LEVEL_04","11800"
"tires","PART_UPGRADE_EXOTIC_LEVEL_08","0"
"nos","PART_UPGRADE_EXOTIC_LEVEL_01","0"
"nos","PART_UPGRADE_EXOTIC_LEVEL_02","4900"
"nos","PART_UPGRADE_EXOTIC_LEVEL_03","12500"
"nos","PART_UPGRADE_EXOTIC_LEVEL_04","18000"
"nos","PART_UPGRADE_EXOTIC_LEVEL_08","0"
"chassis","PART_UPGRADE_EXOTIC_LEVEL_01","0"
"chassis","PART_UPGRADE_EXOTIC_LEVEL_02","3600"
"chassis","PART_UPGRADE_EXOTIC_LEVEL_03","7600"
"chassis","PART_UPGRADE_EXOTIC_LEVEL_04","10000"
"chassis","PART_UPGRADE_EXOTIC_LEVEL_08","0"
"brakes","PART_UPGRADE_EXOTIC_LEVEL_01","0"
"brakes","PART_UPGRADE_EXOTIC_LEVEL_02","3100"
"brakes","PART_UPGRADE_EXOTIC_LEVEL_03","5200"
"brakes","PART_UPGRADE_EXOTIC_LEVEL_04","11400"
"brakes","PART_UPGRADE_EXOTIC_LEVEL_05","26800"
"brakes","PART_UPGRADE_EXOTIC_LEVEL_08","0"
"engine","PART_UPGRADE_EXOTIC_LEVEL_01","0"
"engine","PART_UPGRADE_EXOTIC_LEVEL_02","5500"
"engine","PART_UPGRADE_EXOTIC_LEVEL_03","14200"
"engine","PART_UPGRADE_EXOTIC_LEVEL_04","29800"
"engine","PART_UPGRADE_EXOTIC_LEVEL_05","98000"
"engine","PART_UPGRADE_EXOTIC_LEVEL_08","0"
"induction","PART_UPGRADE_EXOTIC_LEVEL_01","0"
"induction","PART_UPGRADE_EXOTIC_LEVEL_02","5400"
"induction","PART_UPGRADE_EXOTIC_LEVEL_03","25000"
"induction","PART_UPGRADE_EXOTIC_LEVEL_04","76000"
"induction","PART_UPGRADE_EXOTIC_LEVEL_08","0"
"transmission","PART_UPGRADE_EXOTIC_LEVEL_01","0"
"transmission","PART_UPGRADE_EXOTIC_LEVEL_02","4800"
"transmission","PART_UPGRADE_EXOTIC_LEVEL_03","12200"
"transmission","PART_UPGRADE_EXOTIC_LEVEL_04","32000"
"transmission","PART_UPGRADE_EXOTIC_LEVEL_05","75200"
"transmission","PART_UPGRADE_EXOTIC_LEVEL_08","0"
