"Part","Level","CostVanilla","CostNew"
"tires","PART_UPGRADE_EXOTIC_LEVEL_01","0","0"
"tires","PART_UPGRADE_EXOTIC_LEVEL_02","1400","1000"
"tires","PART_UPGRADE_EXOTIC_LEVEL_03","4800","3400"
"tires","PART_UPGRADE_EXOTIC_LEVEL_04","11800","8300"
"tires","PART_UPGRADE_EXOTIC_LEVEL_08","0","0"
"nos","PART_UPGRADE_EXOTIC_LEVEL_01","0","0"
"nos","PART_UPGRADE_EXOTIC_LEVEL_02","4900","3400"
"nos","PART_UPGRADE_EXOTIC_LEVEL_03","12500","8800"
"nos","PART_UPGRADE_EXOTIC_LEVEL_04","18000","12500"
"nos","PART_UPGRADE_EXOTIC_LEVEL_08","0","0"
"chassis","PART_UPGRADE_EXOTIC_LEVEL_01","0","0"
"chassis","PART_UPGRADE_EXOTIC_LEVEL_02","3600","2500"
"chassis","PART_UPGRADE_EXOTIC_LEVEL_03","7600","5300"
"chassis","PART_UPGRADE_EXOTIC_LEVEL_04","10000","7000"
"chassis","PART_UPGRADE_EXOTIC_LEVEL_08","0","0"
"brakes","PART_UPGRADE_EXOTIC_LEVEL_01","0","0"
"brakes","PART_UPGRADE_EXOTIC_LEVEL_02","3100","2200"
"brakes","PART_UPGRADE_EXOTIC_LEVEL_03","5200","3600"
"brakes","PART_UPGRADE_EXOTIC_LEVEL_04","11400","8000"
"brakes","PART_UPGRADE_EXOTIC_LEVEL_05","26800","19000"
"brakes","PART_UPGRADE_EXOTIC_LEVEL_08","0","0"
"engine","PART_UPGRADE_EXOTIC_LEVEL_01","0","0"
"engine","PART_UPGRADE_EXOTIC_LEVEL_02","5500","3800"
"engine","PART_UPGRADE_EXOTIC_LEVEL_03","14200","9900"
"engine","PART_UPGRADE_EXOTIC_LEVEL_04","29800","21000"
"engine","PART_UPGRADE_EXOTIC_LEVEL_05","98000","68500"
"engine","PART_UPGRADE_EXOTIC_LEVEL_08","0","0"
"induction","PART_UPGRADE_EXOTIC_LEVEL_01","0","0"
"induction","PART_UPGRADE_EXOTIC_LEVEL_02","5400","3800"
"induction","PART_UPGRADE_EXOTIC_LEVEL_03","25000","17500"
"induction","PART_UPGRADE_EXOTIC_LEVEL_04","76000","53000"
"induction","PART_UPGRADE_EXOTIC_LEVEL_08","0","0"
"transmission","PART_UPGRADE_EXOTIC_LEVEL_01","0","0"
"transmission","PART_UPGRADE_EXOTIC_LEVEL_02","4800","3400"
"transmission","PART_UPGRADE_EXOTIC_LEVEL_03","12200","8500"
"transmission","PART_UPGRADE_EXOTIC_LEVEL_04","32000","22500"
"transmission","PART_UPGRADE_EXOTIC_LEVEL_05","75200","52500"
"transmission","PART_UPGRADE_EXOTIC_LEVEL_08","0","0"
