"Bin","Blacklist","RequiredBounty","RequiredRacesWon"
"race_bin_01","1","10000000","9"
"race_bin_02","2","7550000","8"
"race_bin_03","3","5550000","8"
"race_bin_04","4","4050000","7"
"race_bin_05","5","3050000","7"
"race_bin_06","6","2300000","7"
"race_bin_07","7","1680000","7"
"race_bin_08","8","1180000","5"
"race_bin_09","9","790000","5"
"race_bin_10","10","500000","5"
"race_bin_11","11","300000","5"
"race_bin_12","12","180000","4"
"race_bin_13","13","100000","4"
"race_bin_14","14","50000","4"
"race_bin_15","15","20000","3"
